time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,,,,,,
2021-01-02 16:15:00,2.0,0.0,63565.0,200775.0,6.622477084573667e-07,0.0
2021-01-02 16:30:00,,,,,,
2021-01-02 16:45:00,,,,,,
2021-01-02 17:00:00,,,,,,
2021-01-02 17:15:00,,,,,,
2021-01-02 17:30:00,,,,,,
2021-01-02 17:45:00,,,,,,
2021-01-02 18:00:00,,,,,,
2021-01-02 18:15:00,,,,,,
2021-01-02 18:30:00,,,,,,
2021-01-02 18:45:00,,,,,,
2021-01-02 19:00:00,,,,,,
2021-01-02 19:15:00,,,,,,
2021-01-02 19:30:00,,,,,,
2021-01-02 19:45:00,,,,,,
2021-01-02 20:00:00,,,,,,
2021-01-02 20:15:00,,,,,,
2021-01-02 20:30:00,,,,,,
2021-01-02 20:45:00,,,,,,
2021-01-02 21:00:00,,,,,,
2021-01-02 21:15:00,,,,,,
2021-01-02 21:30:00,,,,,,
2021-01-02 21:45:00,,,,,,
2021-01-02 22:00:00,,,,,,
2021-01-02 22:15:00,,,,,,
2021-01-02 22:30:00,,,,,,
2021-01-02 22:45:00,,,,,,
2021-01-02 23:00:00,,,,,,
2021-01-02 23:15:00,,,,,,
2021-01-02 23:30:00,,,,,,
2021-01-02 23:45:00,,,,,,
2021-01-03 00:00:00,,,,,,
2021-01-03 00:15:00,,,,,,
2021-01-03 00:30:00,,,,,,
2021-01-03 00:45:00,,,,,,
2021-01-03 01:00:00,,,,,,
2021-01-03 01:15:00,,,,,,
2021-01-03 01:30:00,,,,,,
2021-01-03 01:45:00,,,,,,
2021-01-03 02:00:00,,,,,,
2021-01-03 02:15:00,,,,,,
2021-01-03 02:30:00,,,,,,
2021-01-03 02:45:00,,,,,,
2021-01-03 03:00:00,,,,,,
2021-01-03 03:15:00,,,,,,
2021-01-03 03:30:00,,,,,,
2021-01-03 03:45:00,,,,,,
2021-01-03 04:00:00,,,,,,
2021-01-03 04:15:00,,,,,,
2021-01-03 04:30:00,,,,,,
2021-01-03 04:45:00,,,,,,
2021-01-03 05:00:00,,,,,,
2021-01-03 05:15:00,,,,,,
2021-01-03 05:30:00,,,,,,
2021-01-03 05:45:00,,,,,,
2021-01-03 06:00:00,,,,,,
2021-01-03 06:15:00,,,,,,
2021-01-03 06:30:00,,,,,,
2021-01-03 06:45:00,,,,,,
2021-01-03 07:00:00,,,,,,
2021-01-03 07:15:00,,,,,,
2021-01-03 07:30:00,,,,,,
2021-01-03 07:45:00,,,,,,
2021-01-03 08:00:00,,,,,,
2021-01-03 08:15:00,,,,,,
2021-01-03 08:30:00,,,,,,
2021-01-03 08:45:00,,,,,,
2021-01-03 09:00:00,,,,,,
2021-01-03 09:15:00,,,,,,
2021-01-03 09:30:00,,,,,,
2021-01-03 09:45:00,,,,,,
2021-01-03 10:00:00,,,,,,
2021-01-03 10:15:00,,,,,,
2021-01-03 10:30:00,,,,,,
2021-01-03 10:45:00,,,,,,
2021-01-03 11:00:00,,,,,,
2021-01-03 11:15:00,,,,,,
2021-01-03 11:30:00,,,,,,
2021-01-03 11:45:00,,,,,,
2021-01-03 12:00:00,,,,,,
2021-01-03 12:15:00,,,,,,
2021-01-03 12:30:00,,,,,,
2021-01-03 12:45:00,,,,,,
2021-01-03 13:00:00,,,,,,
2021-01-03 13:15:00,3.0,0.0,49990.5,226681.0,8.091976643318617e-07,0.0
2021-01-03 13:30:00,4.0,1.0,38702.5,102045.5,1.0722253689058395e-06,7.718479274339452e-07
2021-01-03 13:45:00,,,,,,
2021-01-03 14:00:00,3.0,0.0,49367.5,226541.0,7.946584121082631e-07,0.0
