pid,query,src,wordcount,lang,metrics,ip,sent,date
94333066793017957289791560631167049697,eth,api,1,en,freq,132.198.100.185,,1616544114.8672132
79679797715170789772673744066682512399,silver,api,1,en,freq,132.198.100.186,,1616544115.6253676
292520239949351608693959758564503567521,btc,api,1,en,freq,132.198.100.185,,1616544116.5027578
242912649967657720573176640847342302882,ethereum,api,1,en,freq,132.198.100.186,,1616544117.2040114
2255841521742219448553154565290983031,dollar,api,1,en,freq,132.198.100.185,,1616544117.7476692
336620608813518398593088503967671745290,gold,api,1,en,freq,132.198.100.185,,1616544274.0684757
28812871954273944125519771491841146706,bitcoin,api,1,en,freq,132.198.100.185,,1616544275.066852
99372706717696164661984378258909575659,#MeToo,ui,1,en,rank,132.198.100.185,,1616546816.7270346
197785245614317623526768468397331341730,🦠,ui,1,en,rank,132.198.100.185,,1616546817.361841
319389243430675553759240143147357350171,hahaha,ui,1,en,rank,132.198.100.185,,1616546817.5537038
246662828850375549221368309813059832524,Black Lives Matter,ui,3,en,rank,132.198.100.185,,1616546818.7345078
194277687450197804276523717179841312639,sort it out,ui,3,en,rank,132.198.100.185,,1616546830.372414
22177328877403117308895310856878144609,"""sort it out""",ui,1,en,rank,132.198.100.185,,1616546873.5896983
153479568400355382820705255832285844646,sort it out,ui,3,en,rank,132.198.100.185,,1616546890.7746668
93402069583604250339226638068257927407,Lululemon,api,1,en,freq,132.198.100.185,,1616547067.254973
113456898315178915203076912324560756805,dollar,api,1,en,freq,132.198.100.186,,1616547711.723582
303707691747443345821228157618157002067,silver,api,1,en,freq,132.198.100.185,,1616547713.0186124
269465649299048493665137911784878540512,btc,api,1,en,freq,132.198.100.186,,1616547714.0401669
200132482587698137562590336711695392649,ethereum,api,1,en,freq,132.198.100.186,,1616547717.4529538
172564047471280137200487873581459942544,eth,api,1,en,freq,132.198.100.185,,1616547718.7286594
310961237274955730111177174442688074414,gold,api,1,en,freq,132.198.100.186,,1616547875.7386632
177416975873357093824562213596723493849,bitcoin,api,1,en,freq,132.198.100.186,,1616547876.9018354
52065850973024752717381385819778706616,🦠,ui,1,en,rank,132.198.100.185,,1616549556.6477776
230055837125949245429263900682899976968,dollar,api,1,en,freq,132.198.100.185,,1616551313.2984197
195763047904945246980590637705216067427,eth,api,1,en,freq,132.198.100.186,,1616551315.2667463
287540091734800808957127102864564102620,silver,api,1,en,freq,132.198.100.185,,1616551318.5521777
302248952531138685548770522517920554881,ethereum,api,1,en,freq,132.198.100.186,,1616551322.6797338
316539807534803507343160994901976934377,btc,api,1,en,freq,132.198.100.185,,1616551331.2165327
202072113305573749555272900541994834186,🦠,ui,1,en,rank,132.198.100.186,,1616551368.284825
302463741958407304929291702510711963019,hahaha,ui,1,en,rank,132.198.100.186,,1616551368.4875946
241602099877654844761007876138471748174,#MeToo,ui,1,en,rank,132.198.100.186,,1616551369.5929759
48634107110952572768926650911140525663,Black Lives Matter,ui,3,en,rank,132.198.100.186,,1616551370.1538315
319965112557099850267203181960907443379,trigger,ui,1,en,rank,132.198.100.186,,1616551371.3879278
309821510993808731840283583934449344955,bitcoin,api,1,en,freq,132.198.100.185,,1616551473.0740864
121591563622432655113995105596530298408,gold,api,1,en,freq,132.198.100.185,,1616551473.9845748
179758809870533653059877555431471062812,Black Lives Matter,ui,3,en,rank,132.198.100.185,,1616552491.4496737
62475867079793721097416266093889749123,#MeToo,ui,1,en,rank,132.198.100.185,,1616552492.4575176
26680889577897886740162184287535719406,🦠,ui,1,en,rank,132.198.100.185,,1616552493.0206156
288325065860666663578424707061260728688,hahaha,ui,1,en,rank,132.198.100.185,,1616552493.2093656
298080865806770502384850906908925606317,childlike,ui,1,en,freq,132.198.100.185,,1616552575.458671
261536003323935091660802089044452742300,childish,ui,1,en,freq,132.198.100.185,,1616552581.0845132
224883140552705173019150196459609012688,childlike,ui,1,en,freq,132.198.100.185,,1616552638.2095957
119385220612929424116782576843114618859,childish,ui,1,en,freq,132.198.100.185,,1616552639.0754254
255745198207844500580624446567682812379,slowish,ui,1,en,freq,132.198.100.185,,1616552670.0552325
125711951894286031939819110508566741018,yesterdayish,ui,1,en,freq,132.198.100.185,,1616552681.7999759
53106952530849065447173021717276353033,todayish,ui,1,en,freq,132.198.100.185,,1616552687.4940777
314599051945267656129181297018851537247,shortish,ui,1,en,freq,132.198.100.185,,1616552701.6280465
165852162056604725657191306151167412761,goodish,ui,1,en,freq,132.198.100.185,,1616552718.4754515
48623721052296615198167621392713021744,good,ui,1,en,freq,132.198.100.185,,1616552722.371581
235396492274421803486321722470448698018,goodlike,ui,1,en,freq,132.198.100.185,,1616552729.647222
311429333238881835967049038866537614879,newish,ui,1,en,freq,132.198.100.185,,1616552740.428899
162851110132947716156395571879307155090,firstish,ui,1,en,freq,132.198.100.185,,1616552761.6825461
216535919258861840879956654235757781865,new-ish,ui,1,en,freq,132.198.100.185,,1616552770.6767364
142205406232522682481461829382394499917,good-ish,ui,1,en,freq,132.198.100.185,,1616552785.2592156
200225198586499485818354954231999354087,ish,ui,1,en,freq,132.198.100.186,,1616553751.3835108
291213904198188486068349877050437038086,okayish,ui,1,en,freq,132.198.100.185,,1616554257.1807797
206373141247724501622721115961792108521,okay-ish,ui,1,en,freq,132.198.100.185,,1616554261.7316566
299916324223781796602800111184479635037,okay-ish + okayish,ui,3,en,freq,132.198.100.185,,1616554277.2206905
133648271745026185673185634467243928377,okay-ish,ui,1,en,freq,132.198.100.185,,1616554285.222889
180582142235432824881275210167732949307,okayish,ui,1,en,freq,132.198.100.185,,1616554290.4738827
192322509310836702958003460736318079910,okay-ish,ui,1,en,rank,132.198.100.185,,1616554295.4354358
213342017042859829685523032872735847849,okayish,ui,1,en,rank,132.198.100.185,,1616554295.6631823
56129274954411317121185990257049882136,okayish,ui,1,en,rank,132.198.100.185,,1616554308.9417486
130227267627328008129395755543146097339,okay-ish,ui,1,en,rank,132.198.100.185,,1616554309.4105554
51409435875084868325493198982436618047,okayish,ui,1,en,freq,132.198.100.185,,1616554342.1308928
307744188689657318233501235770184986187,okay-ish,ui,1,en,freq,132.198.100.185,,1616554342.5889928
338379117504820401789570965801499578784,okay-ish,ui,1,en,freq,132.198.100.185,,1616554379.1069877
81465988622411409332096592276891686163,okayish,ui,1,en,freq,132.198.100.185,,1616554379.3540816
133788993597831374827269554870955830751,okay-ish,ui,1,en,rank,132.198.100.186,,1616554703.094847
312758782134124808369036265387643289749,okay-ish,ui,1,en,rank,132.198.100.186,,1616554703.4075267
310736517052028551623073607041017137690,okay-ish,ui,1,en,freq,132.198.100.186,,1616554717.0290976
269456993120249913884425650116569463458,okayish,ui,1,en,freq,132.198.100.186,,1616554717.2978323
236127123959785775489152461958335326113,okayish,ui,1,en,freq,132.198.100.186,,1616554734.6247697
106514934622437200620138644308572297705,okay-ish,ui,1,en,freq,132.198.100.186,,1616554735.203203
153530762214498693663771459718483073898,okayish,ui,1,en,freq,132.198.100.186,,1616554745.0384145
301034140290502908007288211805601752069,okay-ish,ui,1,en,freq,132.198.100.186,,1616554745.5438383
60075856628867275503544442320402872823,okay-ish,ui,1,en,freq,132.198.100.186,,1616554747.1866052
21059046454707095332685642902489130581,okayish,ui,1,en,freq,132.198.100.186,,1616554747.4680386
56697152824141881891195192706703689937,btc,api,1,en,freq,132.198.100.186,,1616554911.9572828
295395083074433361138104240652546497742,dollar,api,1,en,freq,132.198.100.185,,1616554912.885498
206910480817217291292804313538043994371,ethereum,api,1,en,freq,132.198.100.186,,1616554913.8887727
253475082156076368234166382761356891397,silver,api,1,en,freq,132.198.100.186,,1616554914.2645378
335591781467152857720140473461424358364,eth,api,1,en,freq,132.198.100.185,,1616554915.3116663
167282278691302948371705635633975265006,🦠,ui,1,en,rank,132.198.100.186,,1616554950.6304727
330778863881626419025314465584727055233,Black Lives Matter,ui,3,en,rank,132.198.100.186,,1616554950.800899
322376119427774220721140008168936200065,hahaha,ui,1,en,rank,132.198.100.186,,1616554951.3968623
150077320181208914659477374487915697023,#MeToo,ui,1,en,rank,132.198.100.186,,1616554952.2095172
218246452739445907067520169778147568872,fake news,ui,2,en,rank,132.198.100.186,,1616555009.9076757
310943896399876813845879258641810683345,yesish,ui,1,en,freq,132.198.100.186,,1616555013.7844243
53486475926722731809183462799742570739,yes-ish,ui,1,en,freq,132.198.100.186,,1616555016.4933355
324527614247543000031498518837711508549,china virus,ui,2,en,rank,132.198.100.186,,1616555031.3930614
97722614228385664773077462744238550685,goodish,ui,1,en,freq,132.198.100.186,,1616555057.8534904
234283869313238746548657346241006226061,good-ish,ui,1,en,freq,132.198.100.186,,1616555060.596618
80582525740838981497544353953313716187,bitcoin,api,1,en,freq,132.198.100.185,,1616555070.1622193
66533588129349624530763904117820736351,gold,api,1,en,freq,132.198.100.186,,1616555070.7463956
21025422149654569600584771982299876417,vaccine hoax,ui,2,en,rank,132.198.100.186,,1616555080.4351418
17300862457056056698709258230833491979,ethereum,api,1,en,freq,132.198.100.185,,1616558513.1569843
7841352848566008108985809687521350718,silver,api,1,en,freq,132.198.100.186,,1616558513.7158895
219675285829405713736907537592951327975,dollar,api,1,en,freq,132.198.100.186,,1616558514.8890777
275121235453714440549628440237752724689,eth,api,1,en,freq,132.198.100.185,,1616558515.9793904
104475583309398684078005343558715109797,btc,api,1,en,freq,132.198.100.185,,1616558516.8259935
124101639081707173697578446190486457688,bitcoin,api,1,en,freq,132.198.100.185,,1616558674.4723432
52068000349139245914693000951038818914,gold,api,1,en,freq,132.198.100.185,,1616558675.870711
70918790234730775118576248557088484730,Black Lives Matter,ui,3,en,rank,132.198.100.186,,1616559380.6015282
81176083789833419093094251639955110692,hahaha,ui,1,en,rank,132.198.100.185,,1616559381.2332737
309505623275246851526673043779954993080,#MeToo,ui,1,en,rank,132.198.100.185,,1616559382.344584
57132212989067996977928483220223127482,🦠,ui,1,en,rank,132.198.100.186,,1616559382.810722
193439074926051500055015484429330755260,🦠,ui,1,en,rank,132.198.100.186,,1616561436.0346553
31336002659921625037448930519105462176,hahaha,ui,1,en,rank,132.198.100.186,,1616561436.240831
309848549266410353119401163853212249091,Racism,ui,1,en,rank,132.198.100.186,,1616561437.3654404
14022919745618081438131216908141678184,#MeToo,ui,1,en,rank,132.198.100.186,,1616561438.143683
107468819937950905924454526612038311245,Black Lives Matter,ui,3,en,rank,132.198.100.186,,1616561438.5973668
259204064529892854291008897216570090876,silver,api,1,en,freq,132.198.100.186,,1616562121.9809787
